event_id,event_name,event_date,artist_name,artist_id,day
1379735,[CANCELLED] VØID: Venetian Snares & Big Lad vs Sly & The Family Drone,2020-06-17,Venetian Snares,venetiansnares,Wed
1396461,[CANCELLED] FABRICLIVE: Virus x 10 Years of 'Genesis Device' LP x Therapy Sessions,2020-05-29,Ed Rush,edrush,Fri
1396461,[CANCELLED] FABRICLIVE: Virus x 10 Years of 'Genesis Device' LP x Therapy Sessions,2020-05-29,Optical,optical,Fri
1396461,[CANCELLED] FABRICLIVE: Virus x 10 Years of 'Genesis Device' LP x Therapy Sessions,2020-05-29,Black Sun Empire,blacksunempire,Fri
1396461,[CANCELLED] FABRICLIVE: Virus x 10 Years of 'Genesis Device' LP x Therapy Sessions,2020-05-29,Prolix,prolix,Fri
1399335,[CANCELLED] FRRC by Ricardo Villalobos with Craig Richards B2B Sonja Moonear,2020-05-16,Ricardo Villalobos,ricardovillalobos,Sat
1399335,[CANCELLED] FRRC by Ricardo Villalobos with Craig Richards B2B Sonja Moonear,2020-05-16,Craig Richards,craigrichards,Sat
1399335,[CANCELLED] FRRC by Ricardo Villalobos with Craig Richards B2B Sonja Moonear,2020-05-16,Sonja Moonear,sonjamoonear,Sat
1399335,[CANCELLED] FRRC by Ricardo Villalobos with Craig Richards B2B Sonja Moonear,2020-05-16,Bobby.,bobby,Sat
1399335,[CANCELLED] FRRC by Ricardo Villalobos with Craig Richards B2B Sonja Moonear,2020-05-16,Voigtmann,voigtmann,Sat
1379724,[CANCELLED] VØID: Ulver & Vatican Shadow,2020-05-13,VØID,void,Wed
1379724,[CANCELLED] VØID: Ulver & Vatican Shadow,2020-05-13,Vatican Shadow,vaticanshadow,Wed
1403060,"[CANCELLED] fabric: Neon Chambers (Kangding Ray & Sigha), Rrose & More",2020-05-09,Neon Chambers,neonchambers,Sat
1403060,"[CANCELLED] fabric: Neon Chambers (Kangding Ray & Sigha), Rrose & More",2020-05-09,Kangding Ray,kangdingray,Sat
1403060,"[CANCELLED] fabric: Neon Chambers (Kangding Ray & Sigha), Rrose & More",2020-05-09,Sigha,sigha,Sat
1403060,"[CANCELLED] fabric: Neon Chambers (Kangding Ray & Sigha), Rrose & More",2020-05-09,Rrose,rrose,Sat
1403060,"[CANCELLED] fabric: Neon Chambers (Kangding Ray & Sigha), Rrose & More",2020-05-09,Faux Naif,fauxnaif,Sat
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Grooverider,grooverider,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Logan D,logand,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Majistrate,majistrate,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Mampi Swift,mampiswift,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Bryan Gee,bryangee,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,DJ Phantasy,djphantasy,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Critical Impact,criticalimpact,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Scoundrel,scoundrel,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Eksman,eksman,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Trigga,trigga,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,IC3,ic3,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Harry Shotta,harryshotta,Fri
1396460,[CANCELLED] FABRICLIVE: Escape2 Festival Takeover,2020-05-08,Funsta,funsta,Fri
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Eats Everything,eatseverything,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,La Fleur,lafleur,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Alinka,alinka,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Syreeta,syreeta-uk,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Louisahhh,louisahhh,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Wax Wings,waxwings,Sat
1390589,"[CANCELLED] He.She.They 2nd Birthday with Eats Everything, La Fleur & Louisahhh",2020-05-02,Lewis G. Burton,lewisg-burton,Sat
1400058,"[CANCELLED] Forms x China White: Cinthie, Leo Pol (Live) & Sweely (Live)",2020-05-01,Cinthie,cinthie,Fri
1400058,"[CANCELLED] Forms x China White: Cinthie, Leo Pol (Live) & Sweely (Live)",2020-05-01,Leo Pol,leopol,Fri
1400058,"[CANCELLED] Forms x China White: Cinthie, Leo Pol (Live) & Sweely (Live)",2020-05-01,Sweely,sweely,Fri
1400058,"[CANCELLED] Forms x China White: Cinthie, Leo Pol (Live) & Sweely (Live)",2020-05-01,Sally C,sallyc,Fri
1400058,"[CANCELLED] Forms x China White: Cinthie, Leo Pol (Live) & Sweely (Live)",2020-05-01,Joe Corti,joecorti,Fri
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,ANOTR,anotr,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Bassel Darwish,basseldarwish,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Dennis Cruz,denniscruz,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Eddy M,eddym,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Michael Bibi,michaelbibi,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,PAWSA,pawsa,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Ramin Rezaie,raminrezaie,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,Reelow,reelow,Sun
1397349,[CANCELLED] Solid. Grooves - 20 Hours Of Grooves - Part II fabric,2020-04-26,wAFF,waff,Sun
1380537,"[CANCELLED] Collisions: Craig Richards, Nicolas Lutz & 5 Years of Discobar",2020-04-25,Craig Richards,craigrichards,Sat
1380537,"[CANCELLED] Collisions: Craig Richards, Nicolas Lutz & 5 Years of Discobar",2020-04-25,Nicolas Lutz,nicolaslutz,Sat
