artist_name,artist_id,ethnicity,gender,genre
Venetian Snares,venetiansnares,NA,NA,NA
Ed Rush,edrush,NA,NA,NA
Optical,optical,NA,NA,NA
Black Sun Empire,blacksunempire,NA,NA,NA
Prolix,prolix,NA,NA,NA
Ricardo Villalobos,ricardovillalobos,NA,NA,NA
Craig Richards,craigrichards,NA,NA,NA
Sonja Moonear,sonjamoonear,NA,NA,NA
Bobby.,bobby,NA,NA,NA
Voigtmann,voigtmann,NA,NA,NA
VØID,void,NA,NA,NA
Vatican Shadow,vaticanshadow,NA,NA,NA
Neon Chambers,neonchambers,NA,NA,NA
Kangding Ray,kangdingray,NA,NA,NA
Sigha,sigha,NA,NA,NA
Rrose,rrose,NA,NA,NA
Faux Naif,fauxnaif,NA,NA,NA
Grooverider,grooverider,NA,NA,NA
Logan D,logand,NA,NA,NA
Majistrate,majistrate,NA,NA,NA
Mampi Swift,mampiswift,NA,NA,NA
Bryan Gee,bryangee,NA,NA,NA
DJ Phantasy,djphantasy,NA,NA,NA
Critical Impact,criticalimpact,NA,NA,NA
Scoundrel,scoundrel,NA,NA,NA
Eksman,eksman,NA,NA,NA
Trigga,trigga,NA,NA,NA
IC3,ic3,NA,NA,NA
Harry Shotta,harryshotta,NA,NA,NA
Funsta,funsta,NA,NA,NA
Eats Everything,eatseverything,NA,NA,NA
La Fleur,lafleur,NA,NA,NA
Alinka,alinka,NA,NA,NA
Syreeta,syreeta-uk,NA,NA,NA
Louisahhh,louisahhh,NA,NA,NA
Wax Wings,waxwings,NA,NA,NA
Lewis G. Burton,lewisg-burton,NA,NA,NA
Cinthie,cinthie,NA,NA,NA
Leo Pol,leopol,NA,NA,NA
Sweely,sweely,NA,NA,NA
Sally C,sallyc,NA,NA,NA
Joe Corti,joecorti,NA,NA,NA
ANOTR,anotr,NA,NA,NA
Bassel Darwish,basseldarwish,NA,NA,NA
Dennis Cruz,denniscruz,NA,NA,NA
Eddy M,eddym,NA,NA,NA
Michael Bibi,michaelbibi,NA,NA,NA
PAWSA,pawsa,NA,NA,NA
Ramin Rezaie,raminrezaie,NA,NA,NA
Reelow,reelow,NA,NA,NA
wAFF,waff,NA,NA,NA
Nicolas Lutz,nicolaslutz,NA,NA,NA
OMAR (UY),omar-uy,NA,NA,NA
Lamache,lamache,NA,NA,NA
Unai Trotti,unaitrotti,NA,NA,NA
Congo Natty,congonatty,NA,NA,NA
Neek,neek,NA,NA,NA
Kenny Ken,kennyken,NA,NA,NA
Ragga Twins,theraggatwins,NA,NA,NA
Commodo,commodo,NA,NA,NA
Cimm,cimm,NA,NA,NA
Deekline,deekline,NA,NA,NA
Serial Killaz,serialkillaz,NA,NA,NA
Benny Page,bennypage,NA,NA,NA
Sherry S,sherrys,NA,NA,NA
Navigator,navigator,NA,NA,NA
Sepia,sepia,NA,NA,NA
Trends,trends,NA,NA,NA
Jammz,jammz,NA,NA,NA
Joseph Capriati,josephcapriati,NA,NA,NA
Hodge,hodge,NA,NA,NA
Randomer,randomer,NA,NA,NA
CCL,ccl,NA,NA,NA
