artist_id,artist_name,event_id,club_id
venetiansnares,Venetian Snares,1379735,237
edrush,Ed Rush,1396461,237
optical,Optical,1396461,237
blacksunempire,Black Sun Empire,1396461,237
prolix,Prolix,1396461,237
ricardovillalobos,Ricardo Villalobos,1399335,237
craigrichards,Craig Richards,1399335,237
sonjamoonear,Sonja Moonear,1399335,237
bobby,Bobby.,1399335,237
voigtmann,Voigtmann,1399335,237
void,VØID,1379724,237
vaticanshadow,Vatican Shadow,1379724,237
neonchambers,Neon Chambers,1403060,237
kangdingray,Kangding Ray,1403060,237
sigha,Sigha,1403060,237
rrose,Rrose,1403060,237
fauxnaif,Faux Naif,1403060,237
grooverider,Grooverider,1396460,237
logand,Logan D,1396460,237
majistrate,Majistrate,1396460,237
mampiswift,Mampi Swift,1396460,237
bryangee,Bryan Gee,1396460,237
djphantasy,DJ Phantasy,1396460,237
criticalimpact,Critical Impact,1396460,237
scoundrel,Scoundrel,1396460,237
eksman,Eksman,1396460,237
trigga,Trigga,1396460,237
ic3,IC3,1396460,237
harryshotta,Harry Shotta,1396460,237
funsta,Funsta,1396460,237
eatseverything,Eats Everything,1390589,237
lafleur,La Fleur,1390589,237
alinka,Alinka,1390589,237
syreeta-uk,Syreeta,1390589,237
louisahhh,Louisahhh,1390589,237
waxwings,Wax Wings,1390589,237
lewisg-burton,Lewis G. Burton,1390589,237
cinthie,Cinthie,1400058,237
leopol,Leo Pol,1400058,237
sweely,Sweely,1400058,237
sallyc,Sally C,1400058,237
joecorti,Joe Corti,1400058,237
anotr,ANOTR,1397349,237
basseldarwish,Bassel Darwish,1397349,237
denniscruz,Dennis Cruz,1397349,237
eddym,Eddy M,1397349,237
michaelbibi,Michael Bibi,1397349,237
pawsa,PAWSA,1397349,237
raminrezaie,Ramin Rezaie,1397349,237
reelow,Reelow,1397349,237
waff,wAFF,1397349,237
craigrichards,Craig Richards,1380537,237
nicolaslutz,Nicolas Lutz,1380537,237
omar-uy,OMAR (UY),1380537,237
